Make,Model,Car_Age,Fuel_Type_RegularUnleaded,Fuel_Type_Premium,Fuel_Type_FlexFuel,Fuel_Type_Diesel,Fuel_Type_NaturalGas,Fuel_Type_Electric,Engine_HP,Engine_Cylinders,Transmission_Automatic,Transmission_Manual,Transmission_AutomatedManual,Transmission_DirectDrive,Transmission_Unknown,Drive_RearWheel,Drive_FrontWheel,Drive_AllWheel,Drive_FourWheel,Number_of_Doors,Market_Category_FactoryTuner,Market_Category_Luxury,Market_Category_Performance,Market_Category_High-Performance,Market_Category_Exotic,Market_Category_FlexFuel,Market_Category_Hybrid,Market_Category_Crossover,Market_Category_Hatchback,Market_Category_Diesel,Market_Category_N/A,VehicleStyle_Coupe,VehicleStyle_Convertible,VehicleStyle_Sedan,VehicleStyle_Wagon,VehicleStyle_4drHatchback,VehicleStyle_2drHatchback,VehicleStyle_4drSUV,VehicleStyle_PassengerMinivan,VehicleStyle_CargoMinivan,VehicleStyle_CrewCabPickup,VehicleStyle_RegularCabPickup,VehicleStyle_ExtendedCabPickup,VehicleStyle_2drSUV,VehicleStyle_CargoVan,VehicleStyle_ConvertibleSUV,VehicleStyle_PassengerVan,average_MPG,Popularity,MSRP
BMW,1 Series,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.2959830866807611,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724233983286908,0.692130857648099,0.4522079559404133
BMW,1 Series,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799442896935932,0.692130857648099,0.43399356358448604
BMW,1 Series,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807799442896936,0.692130857648099,0.4178693474005508
BMW,1 Series,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07520891364902507,0.692130857648099,0.3875452042068941
BMW,1 Series,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07520891364902507,0.692130857648099,0.4103380777014696
BMW,1 Series,0.18518518518518517,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07520891364902507,0.692130857648099,0.39587273149530544
BMW,1 Series,0.18518518518518517,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06685236768802227,0.692130857648099,0.44570518562755046
BMW,1 Series,0.18518518518518517,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807799442896936,0.692130857648099,0.4291164858498391
BMW,1 Series,0.18518518518518517,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07520891364902507,0.692130857648099,0.4200258783716533
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724233983286908,0.692130857648099,0.421187087356093
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807799442896936,0.692130857648099,0.4302113400351679
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799442896935932,0.692130857648099,0.3972330048770778
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.258985200845666,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799442896935932,0.692130857648099,0.4467005076142132
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799442896935932,0.692130857648099,0.421187087356093
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.1849894291754757,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799442896935932,0.692130857648099,0.3972330048770778
BMW,1 Series,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.28012684989429176,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06685236768802227,0.692130857648099,0.4586775488537209
